"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="1517299390484078","美国Graceland Fruit蔓越莓切片果干 226.80克3包 组合零食大礼包","114.00","1","C39494","null","null","null","交易成功","C39494"
="1517299390484078","美国Graceland Fruit 整粒蔓越莓果干226.8g*2包组 健康零食礼包","116.00","1","C29595","null","null","null","交易成功","C29595"
="1517299390484078","美国进口Graceland Fruit 蓝莓果干 141.7克2包组合 年货零食套装","150.00","1","C29292","null","null","null","交易成功","C29292"
="1517864661132396","【猴年西游记】美国GracelandFruit蓝莓4中包+8小包蓝莓果干组合 年货零食礼包","500.00","1","C29296","null","null","null","交易成功","C29296"
="1519019044635206","【猴年西游记】美国GracelandFruit蓝莓4中包+8小包蓝莓果干组合 年货零食礼包","500.00","1","C29296","null","null","null","交易成功","C29296"
="1517817780083384","【猴年西游记】Graceland Fruit 整粒蔓越莓果干 226.80克3包组合零食大礼包","174.00","1","C39595","null","null","null","交易成功","C39595"
="1518394254565835","【猴年西游记】美国进口Graceland Fruit 蓝莓果干 141.7克2包组合 年货零食套装","150.00","1","C29292","null","null","null","交易成功","C29292"
="1517741945567920","【猴年西游记】美国Graceland Fruit 整粒蔓越莓果干226.8g*2包组 健康零食礼包","116.00","1","C29595","null","null","null","交易关闭","C29595"
="1517684509352207","【猴年西游记】Graceland Fruit 酸樱桃果干 141.7克2包组合 年货零食套装","150.00","1","C29393","null","null","null","交易成功","C29393"
="1517107874201190","【猴年西游记】美国GracelandFruit 整粒蔓越莓果干6中包+8小包组合 年货零食","474.00","1","C49599","null","null","null","交易成功","C49599"
="1517077955365297","【猴年西游记】美国Graceland Fruit整粒蔓越莓/酸樱桃/蓝莓果干3包组零食大礼包","188.00","1","C30235","null","null","null","交易成功","C30235"
="1517077955365297","Graceland Fruit蓝莓果干40克美国原装进口零食","25.00","1","P01796","null","null","null","交易成功","P01796"
="1517077955365297","【猴年西游记】美国Graceland Fruit蔓越莓/酸樱桃/蓝莓果干四包零食大礼包年货","222.00","1","C42345","null","null","null","交易成功","C42345"
="1435079311581049","【猴年西游记】美国Graceland Fruit蓝莓果干1000克送4x40克小包果干组合 年货","412.00","1","C00889","null","null","null","交易成功","C00889"
="1518790728970730","【猴年西游记】Graceland Fruit 整粒蔓越莓果干 226.80克3包组合零食大礼包","174.00","1","C39595","null","null","null","交易成功","C39595"
="1436394493255154","【猴年西游记】美国GracelandFruit 整粒蔓越莓果干6中包+8小包组合 年货零食","474.00","1","C49599","null","null","null","交易成功","C49599"
="1435790987855154","【猴年西游记】美国GracelandFruit蓝莓4中包+8小包蓝莓果干组合 年货零食礼包","500.00","1","C29296","null","null","null","交易成功","C29296"
="1518655361515521","【猴年西游记】美国进口Graceland Fruit 蓝莓果干 141.7克2包组合 年货零食套装","150.00","1","C29292","null","null","null","交易成功","C29292"
="1518655361515521","美国Graceland Fruit蔓越莓切片果干1000克送4x40克小包果干组合","212.00","1","C01089","null","null","null","交易成功","C01089"
="1517472661175521","美国Graceland Fruit酸樱桃果干1000克送4x40克小包综合果干组合","412.00","1","C00989","null","null","null","交易成功","C00989"
="1518026094101522","年货专享 gracelandfruit海外旗舰店 50元优惠券","1.00","1","null","null","null","null","交易成功","null"
="1518027532142783","年货专享 gracelandfruit海外旗舰店 50元优惠券","1.00","1","null","null","null","null","交易成功","null"
="1517381783152612","年货专享 gracelandfruit海外旗舰店 50元优惠券","1.00","1","null","null","null","null","交易成功","null"
="1518020818444699","年货专享 gracelandfruit海外旗舰店 50元优惠券","1.00","1","null","null","null","null","交易成功","null"
="1517383860232408","年货专享 gracelandfruit海外旗舰店 50元优惠券","1.00","1","null","null","null","null","交易成功","null"
="1516795715568829","年货专享 gracelandfruit海外旗舰店 50元优惠券","1.00","1","null","null","null","null","交易成功","null"
="1434962830211157","年货专享 gracelandfruit海外旗舰店 50元优惠券","1.00","1","null","null","null","null","交易成功","null"
="1434957555855752","年货专享 gracelandfruit海外旗舰店 50元优惠券","1.00","1","null","null","null","null","交易成功","null"
="1435722661261452","年货专享 gracelandfruit海外旗舰店 50元优惠券","1.00","1","null","null","null","null","交易成功","null"
="1516791238365777","年货专享 gracelandfruit海外旗舰店 50元优惠券","1.00","1","null","null","null","null","交易成功","null"
