"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="120487110362283030","【新品】gracelandfruit天然整粒纯果干巧克力150g/罐","136.00","1","8802534778019","食品口味：蔓越莓果干巧克力","null","null","卖家已发货，等待买家确认","8802534778019"
="120487110362283030","蓝莓果干141.7g整粒蔓越莓果干226.8g组合零食【18年5月临期】","156.00","1","null","组合套餐：(蓝莓干 141.7克)*1+(整粒蔓越莓果干226克)*1","null","null","卖家已发货，等待买家确认","null"
="129207998531950389","美国进口蓝莓干整粒蔓越莓干四包组合734g【18年5月临期】","312.00","1","null","组合套餐：(整粒蔓越莓226克)*2+(蓝莓干141克)*2","null","null","卖家已发货，等待买家确认","null"
="120507523211630150","美国进口蓝莓果干141.7克*3包组合【18年5月临期】","234.00","1","null","组合套餐：(蓝莓干141.7克)*3","null","null","卖家已发货，等待买家确认","null"
="120355900179630150","美国进口蓝莓果干141.7克*3包组合【18年5月临期】","234.00","1","null","组合套餐：(蓝莓干141.7克)*3","null","null","卖家已发货，等待买家确认","null"
="132732204887958903","美国进口蓝莓干整粒蔓越莓干四包组合734g【18年5月临期】","312.00","1","null","组合套餐：(整粒蔓越莓226克)*2+(蓝莓干141克)*2","null","null","卖家已发货，等待买家确认","null"
="132729264881958903","美国进口蓝莓干整粒蔓越莓干四包组合734g【18年5月临期】","312.00","1","null","组合套餐：(整粒蔓越莓226克)*2+(蓝莓干141克)*2","null","null","交易关闭","null"
="132981043892958903","美国进口蓝莓干整粒蔓越莓干四包组合734g【18年5月临期】","312.00","1","null","组合套餐：(整粒蔓越莓226克)*2+(蓝莓干141克)*2","null","null","卖家已发货，等待买家确认","null"
="132726268053025608","gracelandfruit美国整粒蔓越莓果干226.8gx2包组合(18年5月临期)","156.00","1","563768b459bbf959bbb4d6972239c1fc","组合套餐：graceland fruit","null","null","卖家已发货，等待买家确认","563768b459bbf959bbb4d6972239c1fc"
="120328460525315752","gracelandfruit美国进口蓝莓果干1kg 大包健康休闲零食","378.00","1","P01808","食品口味：蓝莓果干1kg /包","null","null","卖家已发货，等待买家确认","P01808"
="120328460525315752","【新品】gracelandfruit天然整粒纯果干巧克力150g/罐","136.00","1","8802534778002","食品口味：蓝莓果干巧克力","null","null","卖家已发货，等待买家确认","8802534778002"
="120435116000104234","gracelandfruit蓝莓果干141.7gx2包进口烘焙零食【18年5月临期】","138.00","1","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","卖家已发货，等待买家确认","a1c18d039f688cfb0e79a6e41266f24c"
="120397539333166647","美国进口蓝莓干蔓越莓切片果干组合367g【18年5月临期】","116.00","1","null","组合套餐：(蓝莓果干141.7g)*1+(蔓越莓果干226g)*1","null","null","卖家已发货，等待买家确认","null"
