"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="1648879955300159","美国进口Graceland Fruit 蓝莓果干141.7克 2包起售 健康零食套装","154.75","4","C29292","null","null","null","交易关闭","C29292"
="1650247927180159","美国原装进口GracelandFruit整粒蔓越莓果干2包起售 健康零食礼包","119.15","4","C29595","null","null","null","交易关闭","C29595"
="1649703931400487","美国原装进口GracelandFruit整粒蔓越莓果干2包起售 健康零食礼包","119.45","4","C29595","null","null","null","交易成功","C29595"
="2029118259827042","美国原装进口GracelandFruit整粒蔓越莓果干2包起售 健康零食礼包","119.45","2","C29595","null","null","null","交易成功","C29595"
="2028442905190173","美国原装进口GracelandFruit整粒蔓越莓果干2包起售 健康零食礼包","119.45","2","C29595","null","null","null","交易成功","C29595"
="1649435287097581","美国进口Graceland Fruit 蓝莓果干141.7克 2包起售 健康零食套装","155.05","2","C29292","null","null","null","交易成功","C29292"
="1649435287097581","美国原装进口 Graceland Fruit 蓝莓果干40克 健康零食","26.78","1","P01796","null","null","null","交易成功","P01796"
="2026869156414690","美国原装进口GracelandFruit整粒蔓越莓果干2包起售 健康零食礼包","119.45","2","C29595","null","null","null","交易成功","C29595"
="2026869156414690","美国进口GracelandFruit酸樱桃果干141.7克 2包起售 健康零食礼包","155.05","2","C29393","null","null","null","交易成功","C29393"
="2027741782648387","美国原装进口Graceland Fruit蓝莓果干1kg 大包健康休闲零食","356.82","1","P01808","null","null","null","交易成功","P01808"
="2025904991814306","美国原装进口GracelandFruit整粒蔓越莓果干2包起售 健康零食礼包","119.45","2","C29595","null","null","null","交易成功","C29595"
="2025949129309278","美国原装Graceland Fruit酸樱桃果干141克 办公室健康零食礼包","79.90","1","P01793","null","null","null","交易成功","P01793"
="2025949129309278","美国原装进口GracelandFruit整粒蔓越莓果干2包起售 健康零食礼包","119.15","2","C29595","null","null","null","交易成功","C29595"
="2025949129309278","美国原装进口 Graceland Fruit 蓝莓果干40克 健康零食","26.63","1","P01796","null","null","null","交易成功","P01796"
="2025091232885123","美国原装进口GracelandFruit整粒蔓越莓果干2包起售 健康零食礼包","119.45","2","C29595","null","null","null","交易成功","C29595"
="1647174516200577","美国原装进口GracelandFruit整粒蔓越莓果干2包起售 健康零食礼包","119.45","2","C29595","null","null","null","交易成功","C29595"
="1647117559246464","美国原装进口GracelandFruit整粒蔓越莓果干2包起售 健康零食礼包","119.45","2","C29595","null","null","null","交易成功","C29595"
="2023728830390452","美国原装进口GracelandFruit整粒蔓越莓果干2包起售 健康零食礼包","119.15","2","C29595","null","null","null","交易成功","C29595"
="2023728830390452","美国Graceland Fruit蔓越莓切片果干 226.80克 烘焙零食 3包起售","116.14","3","C39494","null","null","null","交易成功","C39494"
="2025186896555808","美国原装进口GracelandFruit整粒蔓越莓果干2包起售 健康零食礼包","119.20","2","C29595","null","null","null","交易成功","C29595"
="2025186896555808","美国进口Graceland Fruit 蓝莓果干141.7克 2包起售 健康零食套装","154.70","2","C29292","null","null","null","交易成功","C29292"
="2024370589286529","美国原装进口GracelandFruit整粒蔓越莓果干2包起售 健康零食礼包","119.45","2","C29595","null","null","null","交易成功","C29595"
="2024049945227316","美国原装进口Graceland Fruit 酸樱桃果干40克 健康零食 10包起售","26.17","10","P01797","null","null","null","交易成功","P01797"
="2024457777149154","美国Graceland Fruit蔓越莓切片果干 226.80克 烘焙零食 3包起售","116.14","6","C39494","null","null","null","交易成功","C39494"
="1645784751747766","美国原装进口GracelandFruit整粒蔓越莓果干2包 保税健康零食礼包","122.90","2","C29595","null","null","null","交易成功","C29595"
="2022233477168937","美国原装进口GracelandFruit整粒蔓越莓果干2包 保税健康零食礼包","122.90","1","C29595","null","null","null","交易成功","C29595"
="1644995313740556","美国原装进口GracelandFruit整粒蔓越莓果干2包 保税健康零食礼包","122.90","1","C29595","null","null","null","交易成功","C29595"
="2022261140490424","美国原装进口GracelandFruit独特整粒蔓越莓果干226克 健康零食","62.04","10","P01795","null","null","null","交易成功","P01795"
="2021880988865828","美国原装进口 Graceland Fruit 蓝莓果干40克 健康零食","26.78","7","P01796","null","null","null","交易成功","P01796"
="1645184581796556","美国原装进口Graceland Fruit 酸樱桃果干40克 健康零食 10包起售","26.17","10","P01797","null","null","null","交易成功","P01797"
="2020597798162011","美国Graceland Fruit蔓越莓切片果干 226.80克 烘焙零食 3包起售","116.11","3","C39494","null","null","null","交易成功","C39494"
