"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="117764163126067318","gracelandfruit美国进口蓝莓果干141.7克*3包组合果干*","234.00","1","null","组合套餐：(蓝莓干141.7克)*3","null","null","交易成功","null"
="117764163126067318","gracelandfruit美国进口整粒蔓越莓果干226gx2包组合零食烘焙","156.00","1","563768b459bbf959bbb4d6972239c1fc","组合套餐：graceland fruit","null","null","交易成功","563768b459bbf959bbb4d6972239c1fc"
="109023609692474283","gracelandfruit整粒蔓越莓果干1kg 美国进口烘焙零食","238.00","1","P01811","食品口味：整粒蔓越莓1KG/包","null","null","交易成功","P01811"
="108872243896594688","gracelandfruit蓝莓果干141gx2包进口烘焙零食","138.00","1","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","交易成功","a1c18d039f688cfb0e79a6e41266f24c"
="117409289566788303","gracelandfruit蓝莓果干141gx2包进口烘焙零食","138.00","1","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","别发圆通 收不到 谢谢","交易成功","a1c18d039f688cfb0e79a6e41266f24c"
="108890245170913887","gracelandfruit蓝莓果干141gx2包进口烘焙零食","138.00","1","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","交易成功","a1c18d039f688cfb0e79a6e41266f24c"
="102941889185716731","gracelandfruit美国进口蓝莓干整粒蔓越莓干四包组合734g","312.00","1","null","组合套餐：(整粒蔓越莓226克)*2+(蓝莓干141克)*2","null","null","交易成功","null"
="108818650846809883","gracelandfruit美国进口整粒蔓越莓果干226gx2包组合零食烘焙","156.00","1","563768b459bbf959bbb4d6972239c1fc","组合套餐：graceland fruit","null","null","交易成功","563768b459bbf959bbb4d6972239c1fc"
="117253105709966015","gracelandfruit美国进口樱桃果干零食141.7gx2包烘焙樱桃干","158.00","1","P01793","组合套餐：graceland fruit","null","null","交易成功","P01793"
="108661879960962966","gracelandfruit蓝莓果干141gx2包进口烘焙零食","138.00","1","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","交易成功","a1c18d039f688cfb0e79a6e41266f24c"
="102907114539528935","gracelandfruit蓝莓果干141gx2包进口烘焙零食","138.00","2","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","交易成功","a1c18d039f688cfb0e79a6e41266f24c"
="117290372651673815","gracelandfruit美国进口蓝莓干蔓越莓切片樱桃果干3包组合508g","202.00","1","null","组合套餐：3包组合","null","null","交易成功","null"
="117375802949163106","gracelandfruit蓝莓果干141gx2包进口烘焙零食","138.00","1","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","交易成功","a1c18d039f688cfb0e79a6e41266f24c"
="108699005365349271","gracelandfruit美国进口整粒蔓越莓果干226gx2包组合零食烘焙","156.00","2","563768b459bbf959bbb4d6972239c1fc","组合套餐：graceland fruit","null","null","交易成功","563768b459bbf959bbb4d6972239c1fc"
="108601371740866486","gracelandfruit蓝莓果干141gx2包进口烘焙零食","138.00","2","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","交易成功","a1c18d039f688cfb0e79a6e41266f24c"
="108601371740866486","gracelandfruit美国进口整粒蔓越莓果干226gx2包组合零食烘焙","156.00","2","563768b459bbf959bbb4d6972239c1fc","组合套餐：graceland fruit","null","null","交易成功","563768b459bbf959bbb4d6972239c1fc"
="108688338577156596","gracelandfruit美国进口整粒蔓越莓干226.8克x3包组合零食烘焙","234.00","1","null","组合套餐：(整粒蔓越莓果干226克)*3","null","null","交易成功","null"
="108564467881734285","gracelandfruit美国进口蓝莓果干1kg 大包健康休闲零食","378.00","1","P01808","食品口味：蓝莓果干1kg /包","null","null","交易成功","P01808"
="108561471594283997","gracelandfruit美国进口蓝莓干蔓越莓切片樱桃果干3包组合508g","202.00","1","null","组合套餐：3包组合","null","null","交易成功","null"
="108610357216760264","gracelandfruit整粒蔓越莓果干1kg 美国进口烘焙零食","238.00","1","P01811","食品口味：整粒蔓越莓1KG/包","null","null","交易成功","P01811"
="108536327786760264","gracelandfruit蓝莓果干141gx2包进口烘焙零食","138.00","2","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","交易成功","a1c18d039f688cfb0e79a6e41266f24c"
="117407107567486413","gracelandfruit美国进口蓝莓干蔓越莓切片果干组合367g零食烘焙","116.00","2","null","组合套餐：(蓝莓果干141.7g)*1+(蔓越莓果干226g)*1","null","null","交易成功","null"
="102769464382665559","gracelandfruit蓝莓果干141gx2包进口烘焙零食","138.00","1","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","交易成功","a1c18d039f688cfb0e79a6e41266f24c"
="108578437483593568","gracelandfruit蓝莓果干141gx2包进口烘焙零食","138.00","1","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","交易成功","a1c18d039f688cfb0e79a6e41266f24c"
="102777951261128050","gracelandfruit美国进口蓝莓干整粒蔓越莓干四包组合734g","312.00","1","null","组合套餐：(整粒蔓越莓226克)*2+(蓝莓干141克)*2","null","null","交易成功","null"
="108527309370216085","gracelandfruit蓝莓果干141gx2包进口烘焙零食","138.00","2","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","交易成功","a1c18d039f688cfb0e79a6e41266f24c"
="108527309370216085","gracelandfruit美国进口蓝莓干蔓越莓切片樱桃果干3包组合508g","202.00","1","null","组合套餐：3包组合","null","null","交易成功","null"
="117308155741245125","gracelandfruit蓝莓果干141gx2包进口烘焙零食","138.00","1","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","交易成功","a1c18d039f688cfb0e79a6e41266f24c"
="117296619093386607","GracelandFruit蓝莓果干141.7g整粒蔓越莓果干226.8g组合零食","156.00","1","null","组合套餐：(蓝莓干 141.7克)*1+(整粒蔓越莓果干226克)*1","null","null","交易成功","null"
="117292027955962824","GracelandFruit樱桃果干141.7g蔓越莓切片果干226.8g组合零食","168.00","2","null","组合套餐：(蔓越莓果干226g)*1+(酸樱桃果干141.7g)*1","null","null","交易成功","null"
