"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="1305272279880143","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1305918507453048","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1314443379019213","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1313576827109614","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1305914505496946","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","2","C06789","null","null","null","交易成功","C06789"
="1305286832386946","Graceland Fruit 超级水果四包混合组 2x141.7克&2x226.8克","222.00","1","C42345","null","null","null","交易成功","C42345"
="1306797378508335","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1307640401045144","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1313571862573028","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1305880107191349","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1305879506719960","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1313557781474723","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1212553804929977","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1307582646704040","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1305241433787563","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1307551329367060","Graceland Fruit 超级水果四包混合组 2x141.7克&2x226.8克","222.00","1","C42345","null","null","null","交易关闭","C42345"
="1306787610076247","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1314960328989509","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1312855556175501","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1212537000178267","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1305193075906938","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1312838110905404","Graceland Fruit 超级水果三包混合组 2x141.7克&1x226.8克","188.00","1","C30235","null","null","null","交易成功","C30235"
="1312817956272619","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1312823232851504","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","请只在工作日送货","交易成功","C06789"
="1306696733206035","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1306517579700462","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","2","C06789","null","null","null","交易成功","C06789"
="1313498580327928","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易关闭","C06789"
="1210539744278980","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1312796837631700","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1314318890361117","Graceland Fruit 超级水果三包混合组 2x141.7克&1x226.8克","188.00","1","C30235","null","null","null","交易成功","C30235"
="1210048554035494","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1312775070143925","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1210493343861876","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1210039751180471","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1314266097633120","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","2","C06789","null","null","null","交易成功","C06789"
="1305651627441838","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","2","C06789","null","null","null","交易成功","C06789"
="1306552412379049","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易关闭","C06789"
="1305018232105758","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1312706913699428","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","2","C06789","null","null","null","交易成功","C06789"
="1307349204385347","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","1","C06789","null","null","null","交易成功","C06789"
="1210421986897678","Graceland Fruit 超级水果四小包混合组 4x40克","68.00","2","C06789","null","null","null","交易成功","C06789"
="1307339323815458","Graceland Fruit 超级水果四包混合组 2x141.7克&2x226.8克","222.00","1","C42345","null","null","null","交易成功","C42345"
