"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="126967734738123106","【2件起售】GracelandFruit整粒蔓越莓果干226g/包(18年3月临期)","9.90","2","P01795","食品口味：整粒蔓越莓干226.8g/包","null","null","交易成功","P01795"
="126967734738123106","【2件起售】GracelandFruit蓝莓果干141g/包（18年3月临期）","9.90","6","P01792","食品口味：蓝莓干141.7克/包","null","null","交易成功","P01792"
="126967510624377713","【年货买不停】gracelandfruit美国进口蓝莓干整粒蔓越莓干四包组合734g","312.00","1","null","组合套餐：(整粒蔓越莓226克)*2+(蓝莓干141克)*2","null","null","交易成功","null"
="126964318539076528","【年货买不停】gracelandfruit美国进口蓝莓干整粒蔓越莓干四包组合734g","312.00","2","null","组合套餐：(整粒蔓越莓226克)*2+(蓝莓干141克)*2","null","null","交易成功","null"
="127072567945160013","【年货买不停】gracelandfruit美国进口整粒蔓越莓果干226gx2包组合零食烘焙","156.00","1","563768b459bbf959bbb4d6972239c1fc","组合套餐：graceland fruit","null","null","交易成功","563768b459bbf959bbb4d6972239c1fc"
="121572340839948569","【年货买不停】gracelandfruit美国进口整粒蔓越莓果干226gx2包组合零食烘焙","156.00","1","563768b459bbf959bbb4d6972239c1fc","组合套餐：graceland fruit","null","null","交易成功","563768b459bbf959bbb4d6972239c1fc"
="121522531170052293","【2件起售】GracelandFruit蓝莓果干141g/包（18年3月临期）","9.90","4","P01792","食品口味：蓝莓干141.7克/包","null","null","交易成功","P01792"
="121522531170052293","【年货买不停】gracelandfruit美国进口蓝莓果干1kg 大包健康休闲零食","378.00","1","P01808","食品口味：蓝莓果干1kg /包","null","null","交易成功","P01808"
="114826852839866635","【年货买不停】gracelandfruit美国进口蔓越莓切片果干1kg健康零食烘焙","168.00","1","P01810","食品口味：蔓越莓果干 1kg","null","null","交易成功","P01810"
="114909175999518532","【年货买不停】gracelandfruit美国进口蓝莓干整粒蔓越莓干四包组合734g","312.00","2","null","组合套餐：(整粒蔓越莓226克)*2+(蓝莓干141克)*2","null","null","交易成功","null"
="121562932425142398","【2件起售】GracelandFruit蓝莓果干141g/包（18年3月临期）","9.90","4","P01792","食品口味：蓝莓干141.7克/包","null","null","交易成功","P01792"
="121562932425142398","【2件起售】GracelandFruit整粒蔓越莓果干226g/包(18年3月临期)","9.90","4","P01795","食品口味：整粒蔓越莓干226.8g/包","null","null","交易成功","P01795"
="126811016923708804","【年货买不停】GracelandFruit蓝莓果干141.7g整粒蔓越莓果干226.8g组合零食","156.00","1","null","组合套餐：(蓝莓干 141.7克)*1+(整粒蔓越莓果干226克)*1","null","null","交易成功","null"
="121561616728858670","【年货买不停】gracelandfruit美国进口蓝莓果干1kg 大包健康休闲零食","378.00","1","P01808","食品口味：蓝莓果干1kg /包","null","null","交易成功","P01808"
="121561616728858670","【年货买不停】gracelandfruit美国原装进口樱桃果干1kg 无添加健康零食","388.00","1","P01809","食品口味：酸樱桃果干1kg/包","null","null","交易成功","P01809"
="121561616731858670","GracelandFruit蓝莓果干141.7g樱桃果干141.7g组合(18年3月临期)","156.00","1","null","组合套餐：(蓝莓干 141.7克)*1+(酸樱桃果干 141.7g)*1","null","null","交易关闭","null"
="126811352547750005","gracelandfruit蓝莓果干141gx2包进口烘焙零食","138.00","3","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","交易成功","a1c18d039f688cfb0e79a6e41266f24c"
="126933434814341210","【2件起售】GracelandFruit蓝莓果干141g/包（18年3月临期）","9.90","2","P01792","食品口味：蓝莓干141.7克/包","null","null","交易成功","P01792"
="126932314162416826","【年货买不停】gracelandfruit芒果干蓝莓蔓越莓混合果干454克/袋 美国进口","238.00","1","null","食品口味：芒果混合果干","null","null","交易成功","null"
="121575310690414888","【2件起售】GracelandFruit整粒蔓越莓果干226g/包(18年3月临期)","9.90","2","P01795","食品口味：整粒蔓越莓干226.8g/包","null","null","交易成功","P01795"
="121535296349906580","【2件起售】GracelandFruit蓝莓果干141g/包（18年3月临期）","9.90","2","P01792","食品口味：蓝莓干141.7克/包","null","null","交易成功","P01792"
="126917586691923925","【2件起售】GracelandFruit蓝莓果干141g/包（18年3月临期）","9.90","2","P01792","食品口味：蓝莓干141.7克/包","null","null","交易成功","P01792"
