"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="2930591881128063","gracelandfruit整粒蔓越莓果干226gx2包组合美国进口零食*","118.00","1","null","组合套餐：整粒蔓越莓*2","null","null","交易成功","null"
="2933437707298063","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产*","128.00","1","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","null","交易成功","P01792"
="2932222895821374","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产","138.00","1","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","交易成功","a1c18d039f688cfb0e79a6e41266f24c"
="2932222895821374","gracelandfruit整粒蔓越莓果干226gx2包组合美国进口零食*","118.00","1","null","组合套餐：整粒蔓越莓*2","null","null","交易成功","null"
="2953843814948517","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产*","128.00","2","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","null","交易成功","P01792"
="2932052892976494","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产*","128.00","2","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","null","交易成功","P01792"
="2932378513615583","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产*","128.00","1","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","null","交易成功","P01792"
="2933060904651667","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产*","128.00","1","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","null","交易成功","P01792"
="2933060904651667","gracelandfruit整粒蔓越莓果干226gx2包组合美国进口零食*","118.00","1","null","组合套餐：整粒蔓越莓*2","null","null","交易成功","null"
="2930023882356290","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产","138.00","2","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","交易成功","a1c18d039f688cfb0e79a6e41266f24c"
="2932069910564060","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产*","128.00","1","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","null","交易成功","P01792"
="2929937889515375","gracelandfruit美国进口樱桃果干零食141.7gx2包","158.00","1","P01793","组合套餐：graceland fruit","null","null","交易成功","P01793"
="2929937889515375","gracelandfruit美国进口整粒蔓越莓果干226gx2包组合","156.00","1","563768b459bbf959bbb4d6972239c1fc","组合套餐：graceland fruit","null","null","交易成功","563768b459bbf959bbb4d6972239c1fc"
="2929713687722763","gracelandfruit美国进口整粒蔓越莓果干226gx2包组合","156.00","1","563768b459bbf959bbb4d6972239c1fc","组合套餐：graceland fruit","null","null","交易成功","563768b459bbf959bbb4d6972239c1fc"
="2929713687722763","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产*","128.00","1","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","null","交易成功","P01792"
="2954805828103619","gracelandfruit整粒蔓越莓果干226gx2包组合美国进口零食*","118.00","1","null","组合套餐：整粒蔓越莓*2","null","null","交易成功","null"
="2953212436133811","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产","138.00","2","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","交易成功","a1c18d039f688cfb0e79a6e41266f24c"
="2930761699352479","gracelandfruit美国进口樱桃果干零食141.7gx2包","158.00","1","P01793","组合套餐：graceland fruit","null","null","交易成功","P01793"
="2450727985993032","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产*","128.00","1","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","null","交易成功","P01792"
="2930563497720159","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产*","128.00","2","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","null","交易成功","P01792"
="2930793118901963","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产*","128.00","1","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","null","交易成功","P01792"
="2929565918290267","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产*","128.00","1","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","null","交易关闭","P01792"
="2927274685712688","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产","138.00","2","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","交易成功","a1c18d039f688cfb0e79a6e41266f24c"
="2953598624264513","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产","138.00","1","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","交易成功","a1c18d039f688cfb0e79a6e41266f24c"
="2929094716193181","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产","138.00","2","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","交易成功","a1c18d039f688cfb0e79a6e41266f24c"
="2929029503866662","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产*","128.00","1","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","null","交易成功","P01792"
="2951683637903312","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产*","128.00","1","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","早点发货","交易成功","P01792"
="2951652816653312","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产*","128.00","1","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","早点发货","交易关闭","P01792"
="2928046912848190","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产*","128.00","1","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","null","交易成功","P01792"
="2950913401943508","gracelandfruit美国进口樱桃果干零食141.7gx2包","158.00","3","P01793","组合套餐：graceland fruit","null","null","交易关闭","P01793"
="2927571296695592","gracelandfruit整粒蔓越莓果干226gx2包组合美国进口零食*","118.00","1","null","组合套餐：整粒蔓越莓*2","null","null","交易成功","null"
="2927571296695592","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产","138.00","1","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","交易成功","a1c18d039f688cfb0e79a6e41266f24c"
="2927323514320765","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产*","128.00","1","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","null","交易成功","P01792"
="2952551423977601","gracelandfruit美国进口樱桃果干零食141.7gx2包","158.00","1","P01793","组合套餐：graceland fruit","null","null","交易成功","P01793"
="2952551423977601","gracelandfruit美国进口整粒蔓越莓果干226gx2包组合","156.00","1","563768b459bbf959bbb4d6972239c1fc","组合套餐：graceland fruit","null","null","交易成功","563768b459bbf959bbb4d6972239c1fc"
="2952551423977601","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产","138.00","1","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","交易成功","a1c18d039f688cfb0e79a6e41266f24c"
="2927830302392880","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产","138.00","1","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","交易关闭","a1c18d039f688cfb0e79a6e41266f24c"
="2447143598160332","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产","138.00","1","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","交易成功","a1c18d039f688cfb0e79a6e41266f24c"
="2447189566771930","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产*","128.00","1","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","请确保质量保证新鲜谢谢","交易成功","P01792"
="2448147586490734","gracelandfruit美国进口樱桃果干零食141.7gx2包","158.00","1","P01793","组合套餐：graceland fruit","null","null","交易成功","P01793"
="2448147586490734","gracelandfruit整粒蔓越莓果干226gx2包组合美国进口零食*","118.00","1","null","组合套餐：整粒蔓越莓*2","null","null","交易成功","null"
="2926055100149677","gracelandfruit整粒蔓越莓果干226gx2包组合美国进口零食*","118.00","1","null","组合套餐：整粒蔓越莓*2","null","null","交易成功","null"
="2951520028795720","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产*","128.00","1","P01792","组合套餐：(graceland fruit 蓝莓干 141.7克)*2","null","null","交易成功","P01792"
="2446660160474936","gracelandfruit整粒蔓越莓果干226gx2包组合美国进口零食*","118.00","2","null","组合套餐：整粒蔓越莓*2","null","null","交易成功","null"
="2446660160474936","gracelandfruit美国进口蓝莓果干141gx2包保护视力 2016年8月产","138.00","2","a1c18d039f688cfb0e79a6e41266f24c","组合套餐：graceland fruit","null","null","交易成功","a1c18d039f688cfb0e79a6e41266f24c"
