"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="2183468880253895","GracelandFruit蔓越莓切片果干226.8克3包起售美国进口零食烘焙","115.90","3","C39494","食品口味：蔓越莓干切片226.8g/包","null","null","交易成功","C39494"
="2184775691852289","【8月17日10:00，前6000件半价抢】酸樱桃果干2包起售","76.75","2","P01793","食品口味：酸樱桃果干141.7克/包","null","null","交易成功","P01793"
="2183110314488761","【8月17日10:00，前6000件半价抢】酸樱桃果干2包起售","76.75","2","P01793","食品口味：酸樱桃果干141.7克/包","null","null","交易成功","P01793"
="2216915224998148","【8月17日10:00，前6000件半价抢】酸樱桃果干2包起售","76.75","2","P01793","食品口味：酸樱桃果干141.7克/包","null","null","交易成功","P01793"
="2183448283511184","【8月17日10:00，前6000件半价抢】酸樱桃果干2包起售","76.75","2","P01793","食品口味：酸樱桃果干141.7克/包","null","null","交易成功","P01793"
="2216906628893648","【8月17日10:00，前6000件半价抢】酸樱桃果干2包起售","76.75","6","P01793","食品口味：酸樱桃果干141.7克/包","null","null","交易成功","P01793"
="2183447482903895","【8月17日10:00，前6000件半价抢】酸樱桃果干2包起售","76.75","2","P01793","食品口味：酸樱桃果干141.7克/包","null","null","交易关闭","P01793"
="2184755892479175","【8月17日10:00，前6000件半价抢】酸樱桃果干2包起售","76.75","2","P01793","食品口味：酸樱桃果干141.7克/包","null","null","交易成功","P01793"
="2215933401048524","【8月17日10:00，前6000件半价抢】酸樱桃果干2包起售","76.75","2","P01793","食品口味：酸樱桃果干141.7克/包","null","null","交易成功","P01793"
="2216898018304631","【8月17日10:00，前6000件半价抢】酸樱桃果干2包起售","76.75","2","P01793","食品口味：酸樱桃果干141.7克/包","null","null","交易成功","P01793"
="2215257835293629","【8月17日10:00，前6000件半价抢】酸樱桃果干2包起售","76.75","2","P01793","食品口味：酸樱桃果干141.7克/包","null","null","交易成功","P01793"
="2216890015420402","【8月17日10:00，前6000件半价抢】酸樱桃果干2包起售","76.75","2","P01793","食品口味：酸樱桃果干141.7克/包","null","null","交易成功","P01793"
="2216867627175712","【8月17日10:00，前6000件半价抢】酸樱桃果干2包起售","76.75","2","P01793","食品口味：酸樱桃果干141.7克/包","null","null","交易成功","P01793"
="2184340705371184","【8月17日10:00，前6000件半价抢】酸樱桃果干2包起售","76.75","2","P01793","食品口味：酸樱桃果干141.7克/包","null","null","交易成功","P01793"
="2215887804380849","【8月17日10:00，前6000件半价抢】酸樱桃果干2包起售","76.75","2","P01793","食品口味：酸樱桃果干141.7克/包","null","null","交易成功","P01793"
="2215899601203448","【8月17日10:00，前6000件半价抢】酸樱桃果干2包起售","76.75","4","P01793","食品口味：酸樱桃果干141.7克/包","null","null","交易成功","P01793"
="2216858621914009","【8月17日10:00，前6000件半价抢】酸樱桃果干2包起售","76.75","2","P01793","食品口味：酸樱桃果干141.7克/包","null","null","交易成功","P01793"
="2183405686743967","【8月17日10:00，前6000件半价抢】酸樱桃果干2包起售","76.75","2","P01793","食品口味：酸樱桃果干141.7克/包","null","null","交易成功","P01793"
="2216853012053754","GracelandFruit 蔓越莓切片果干40克美国原装进口 8包起售","14.87","8","P01798","食品口味：蔓越莓切片果干40g/包","null","null","交易成功","P01798"
