"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="152871262317170727","进口gracelandfruit整粒蔓越莓果干果脯蜜饯226gx2包零食烘焙*","118.00","1","null","组合套餐：整粒蔓越莓*2","null","null","交易成功","null"
="140000815832046332","gracelandfruit整粒蔓越莓果干1kg 美国进口烘焙零食","238.00","1","P01811","食品口味：整粒蔓越莓1KG/包","null","null","交易成功","P01811"
="152905311683654517","gracelandfruit美国进口蓝莓果干果脯蜜饯1kg袋装休闲零食烘焙","378.00","2","P01808","食品口味：蓝莓果干1kg /包","null","null","卖家已发货，等待买家确认","P01808"
="139933810146220459","gracelandfruit美国进口蓝莓果干果脯蜜饯1kg袋装休闲零食烘焙","378.00","1","P01808","食品口味：蓝莓果干1kg /包","null","null","卖家已发货，等待买家确认","P01808"
="153853626287362995","进口gracelandfruit蓝莓蔓越莓果干夹心黑巧克力豆零食小吃150g","136.00","1","8802534778002","食品口味：蓝莓果干巧克力","null","null","卖家已发货，等待买家确认","8802534778002"
="152530080367963506","进口gracelandfruit蓝莓蔓越莓果干夹心黑巧克力豆零食小吃150g","136.00","1","8802534778002","食品口味：蓝莓果干巧克力","null","null","交易成功","8802534778002"
="152530080367963506","进口gracelandfruit蓝莓蔓越莓果干夹心黑巧克力豆零食小吃150g","136.00","1","8802534778019","食品口味：蔓越莓果干巧克力","null","null","交易成功","8802534778019"
="153804039759859781","进口gracelandfruit蓝莓蔓越莓果干夹心黑巧克力豆零食小吃150g","136.00","1","8802534778002","食品口味：蓝莓果干巧克力","null","null","交易成功","8802534778002"
="153828060224340170","gracelandfruit美国原装进口樱桃果干1kg 无添加健康零食","388.00","1","P01809","食品口味：酸樱桃果干1kg/包","null","null","卖家已发货，等待买家确认","P01809"
="153828060224340170","gracelandfruit美国进口蔓越莓切片果干1kg健康零食烘焙","168.00","1","P01810","食品口味：蔓越莓果干 1kg","null","null","卖家已发货，等待买家确认","P01810"
="153742103744332176","进口gracelandfruit整粒蓝莓蔓越莓果干夹心黑巧克力零食150g*2罐","272.00","1","null","组合套餐：(蓝莓果干巧克力)*1+(蔓越莓果干巧克力150g)*1","null","null","交易成功","null"
