Settle_batch_no,Settle_date,Amount,Fee,Settlement,Currency
50002018032600032007000010137046	,2018-04-09 12:36:01,14556.93	,5824.72	,8732.21	,USD
50002018041000032007000010476459	,2018-04-23 12:36:00,7747.01	,2459.14	,5287.87	,USD
