单号,货品编码,货品名称,仓库名称,出入库时间,单据类型,库存类型,出入数量,结存数量,ERP订单号,外部流水号
LBX0325661737206557,XY521074249153,Graceland Fruit 酸樱桃果干 1000克,菜鸟上海保税1号仓,2018-04-28 13:54:20,交易出库,可销售库存,-1,105,153828060224340170,153828060224340170
LBX0325661737206557,XY521074725008,Graceland Fruit 蔓越莓切片果干 1000克,菜鸟上海保税1号仓,2018-04-28 13:54:20,交易出库,可销售库存,-1,166,153828060224340170,153828060224340170
LBX0325661736713558,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-28 13:09:47,交易出库,可销售库存,-1,1212,152759011093978825,152759011093978825
LBX0325661736713558,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-28 13:09:47,交易出库,可销售库存,-1,1605,152759011093978825,152759011093978825
LBX0325661736900281,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-28 13:07:09,交易出库,可销售库存,-1,1213,153742103744332176,153742103744332176
LBX0325661736900281,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-28 13:07:09,交易出库,可销售库存,-1,1606,153742103744332176,153742103744332176
LBX0325661735369225,XY521074725008,Graceland Fruit 蔓越莓切片果干 1000克,菜鸟上海保税1号仓,2018-04-28 09:41:46,交易出库,可销售库存,-1,167,153545402980900680,153545402980900680
LBX0325661735348326,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-28 09:40:15,交易出库,可销售库存,-1,1607,153589052827695075,153589052827695075
LBX0325661735594655,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-28 09:37:26,交易出库,可销售库存,-2,499,153631136938325897,153631136938325897
LBX0325661735646730,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-28 09:36:41,交易出库,可销售库存,-2,998,152651911450126209,152651911450126209
LBX0325661736319353,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-28 09:35:22,交易出库,可销售库存,-2,1000,153681398401182990,153681398401182990
LBX0325661736248200,XY521068155265,Graceland Fruit 整粒蔓越莓果干 1000克,菜鸟上海保税1号仓,2018-04-28 09:34:03,交易出库,可销售库存,-1,36,139740805540909949,139740805540909949
LBX0325661735006214,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-27 16:51:24,交易出库,可销售库存,-1,1608,152426146853035108,152426146853035108
LBX0025661731036404,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-27 15:37:10,其他入库单,可销售库存,1000,1002,I1524713664313,0
LBX0025661731036404,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-27 15:37:10,其他入库单,可销售库存,500,501,I1524713664313,0
LBX0325661734318448,XY521074093868,Graceland Fruit 蔓越莓切片果干 226.8克,菜鸟上海保税1号仓,2018-04-27 14:43:37,交易出库,可销售库存,-3,266,139605315864070243,139605315864070243
LBX0325661734318448,XY521078064529,Graceland Fruit 酸樱桃果干 141.7克,菜鸟上海保税1号仓,2018-04-27 14:43:37,交易出库,可销售库存,-2,392,139605315864070243,139605315864070243
LBX0325661734471588,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-27 14:29:43,交易出库,可销售库存,-1,1214,153462436471099874,153462436471099874
LBX0325661734382267,XY521068155265,Graceland Fruit 整粒蔓越莓果干 1000克,菜鸟上海保税1号仓,2018-04-27 14:22:19,交易出库,可销售库存,-1,37,152188816102489321,152188816102489321
LBX0325661734417061,XY521077912497,Graceland Fruit 蓝莓果干 1000克,菜鸟上海保税1号仓,2018-04-27 14:21:23,交易出库,可销售库存,-1,58,152504435492798907,152504435492798907
LBX0325661733833706,XY521074725008,Graceland Fruit 蔓越莓切片果干 1000克,菜鸟上海保税1号仓,2018-04-27 11:30:50,交易出库,可销售库存,-1,168,139413288194348268,139413288194348268
LBX0325661733379973,XY521077912497,Graceland Fruit 蓝莓果干 1000克,菜鸟上海保税1号仓,2018-04-27 07:58:21,交易出库,可销售库存,-1,59,139475227024228060,139475227024228060
LBX0325661733063252,XY521078064529,Graceland Fruit 酸樱桃果干 141.7克,菜鸟上海保税1号仓,2018-04-27 07:55:58,交易出库,可销售库存,-2,394,152383811196169826,152383811196169826
LBX0325661733045482,XY521074725008,Graceland Fruit 蔓越莓切片果干 1000克,菜鸟上海保税1号仓,2018-04-27 07:54:18,交易出库,可销售库存,-1,169,139359922398845669,139359922398845669
LBX0325661733036965,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-27 07:53:22,交易出库,可销售库存,-1,1609,139337997889826261,139337997889826261
LBX0325661733036965,XY521077912497,Graceland Fruit 蓝莓果干 1000克,菜鸟上海保税1号仓,2018-04-27 07:53:22,交易出库,可销售库存,-1,60,139337997889826261,139337997889826261
LBX0325661733043027,XY521068155265,Graceland Fruit 整粒蔓越莓果干 1000克,菜鸟上海保税1号仓,2018-04-27 07:52:26,交易出库,可销售库存,-1,38,152065532518847621,152065532518847621
LBX0325661733173197,XY521074093868,Graceland Fruit 蔓越莓切片果干 226.8克,菜鸟上海保税1号仓,2018-04-27 07:51:53,交易出库,可销售库存,-5,269,152392407675551828,152392407675551828
LBX0325661732253946,XY521074249153,Graceland Fruit 酸樱桃果干 1000克,菜鸟上海保税1号仓,2018-04-27 07:51:18,交易出库,可销售库存,-1,106,139113941244659145,139113941244659145
LBX0325661733048049,X708390000326,美国果瑞氏无糖蔓越莓果干113.4克,菜鸟上海保税1号仓,2018-04-27 07:50:21,交易出库,可销售库存,-1,256,139262340517589861,139262340517589861
LBX0325661732136847,XY521074725008,Graceland Fruit 蔓越莓切片果干 1000克,菜鸟上海保税1号仓,2018-04-27 07:49:26,交易出库,可销售库存,-1,170,139097982223081079,139097982223081079
LBX0325661732722734,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-27 07:49:26,交易出库,可销售库存,-1,1215,152034200857593600,152034200857593600
LBX0325661733092198,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-27 07:49:14,交易出库,可销售库存,-1,1216,152385715408562322,152385715408562322
LBX0325661733092198,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-27 07:49:14,交易出库,可销售库存,-1,1610,152385715408562322,152385715408562322
LBX0325661733047612,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-27 07:48:52,交易出库,可销售库存,-1,1218,152038345151293807,152038345151293807
LBX0325661733175687,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-27 07:48:52,交易出库,可销售库存,-1,1217,139439191127771186,139439191127771186
LBX0825661731994939,XY521074093868,Graceland Fruit 蔓越莓切片果干 226.8克,菜鸟上海保税1号仓,2018-04-26 16:25:40,库存状态调整入库,残次,1,1,TF003675            ,0
LBX0925661731994938,XY521074093868,Graceland Fruit 蔓越莓切片果干 226.8克,菜鸟上海保税1号仓,2018-04-26 16:25:40,库存状态调整出库,可销售库存,-1,274,TF003675            ,0
LBX0825661732010476,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-26 16:24:51,库存状态调整入库,可销售库存,1,1,TF003674            ,0
LBX0925661732010475,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-26 16:24:51,库存状态调整出库,残次,-1,11472,TF003674            ,0
LBX0325661731804781,708390000210,GracelandFruit莓果橙皮 混合果干 454克,菜鸟上海保税1号仓,2018-04-26 16:14:06,交易出库,可销售库存,-1,40,138946053950630591,138946053950630591
