单号,货品编码,货品名称,仓库名称,出入库时间,单据类型,库存类型,出入数量,结存数量,ERP订单号,外部流水号
LBX0325661723814876,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 13:50:07,交易出库,可销售库存,-1,1326,137798052822121186,137798052822121186
LBX0325661723745780,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 13:48:44,交易出库,可销售库存,-2,158,151309953338539717,151309953338539717
LBX0325661723892453,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 13:46:38,交易出库,可销售库存,-2,160,137969331498752780,137969331498752780
LBX0325661723865359,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 13:44:21,交易出库,可销售库存,-2,162,137909410820928437,137909410820928437
LBX0325661723929631,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 13:43:43,交易出库,可销售库存,-2,164,137919182421465096,137919182421465096
LBX0325661723827500,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 13:41:43,交易出库,可销售库存,-2,1327,137799340033639044,137799340033639044
LBX0325661723786534,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 13:40:40,交易出库,可销售库存,-2,1700,152505146826658967,152505146826658967
LBX0325661723786534,XY521074249153,Graceland Fruit 酸樱桃果干 1000克,菜鸟上海保税1号仓,2018-04-24 13:40:40,交易出库,可销售库存,-1,110,152505146826658967,152505146826658967
LBX0325661723926822,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 13:38:00,交易出库,可销售库存,-2,166,137919154749465096,137919154749465096
LBX0325661723922526,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 13:33:58,交易出库,可销售库存,-1,1329,137972691190663558,137972691190663558
LBX0325661723922526,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 13:33:58,交易出库,可销售库存,-1,1702,137972691190663558,137972691190663558
LBX0325661723894709,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 13:33:35,交易出库,可销售库存,-1,1330,151512898465438328,151512898465438328
LBX0325661723894709,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 13:33:35,交易出库,可销售库存,-1,1703,151512898465438328,151512898465438328
LBX0325661724128227,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 13:31:28,交易出库,可销售库存,-1,1704,137942086081880399,137942086081880399
LBX0325661724007646,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 13:30:52,交易出库,可销售库存,-2,1331,137930242634492458,137930242634492458
LBX0325661723817181,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 13:30:14,交易出库,可销售库存,-2,1333,137901682645216290,137901682645216290
LBX0325661723817181,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 13:30:14,交易出库,可销售库存,-2,1705,137901682645216290,137901682645216290
LBX0325661723866267,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 13:28:30,交易出库,可销售库存,-1,1335,137965383015664598,137965383015664598
LBX0325661723866267,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 13:28:30,交易出库,可销售库存,-1,1707,137965383015664598,137965383015664598
LBX0325661723866267,708390000227,GracelandFruit芒果莓果 混合果干 454克,菜鸟上海保税1号仓,2018-04-24 13:28:30,交易出库,可销售库存,-1,18,137965383015664598,137965383015664598
LBX0325661723876274,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 13:27:55,交易出库,可销售库存,-1,1336,137910250812902238,137910250812902238
LBX0325661723876274,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 13:27:55,交易出库,可销售库存,-1,1708,137910250812902238,137910250812902238
LBX0325661723791519,XY521074249153,Graceland Fruit 酸樱桃果干 1000克,菜鸟上海保税1号仓,2018-04-24 13:23:11,交易出库,可销售库存,-1,111,151653515560438927,151653515560438927
LBX0325661723791519,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 13:23:11,交易出库,可销售库存,-2,245,151653515560438927,151653515560438927
LBX0325661723791519,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 13:23:11,交易出库,可销售库存,-2,243,151653515560438927,151653515560438927
LBX0325661723791519,XY521078064529,Graceland Fruit 酸樱桃果干 141.7克,菜鸟上海保税1号仓,2018-04-24 13:23:11,交易出库,可销售库存,-2,458,151653515560438927,151653515560438927
LBX0325661723791519,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 13:23:11,交易出库,可销售库存,-2,170,151653515560438927,151653515560438927
LBX0325661723791519,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 13:23:11,交易出库,可销售库存,-2,168,151653515560438927,151653515560438927
LBX0325661723698917,XY521078064529,Graceland Fruit 酸樱桃果干 141.7克,菜鸟上海保税1号仓,2018-04-24 13:20:43,交易出库,可销售库存,-2,460,151639319905169826,151639319905169826
LBX0325661723698917,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 13:20:43,交易出库,可销售库存,-2,172,151639319905169826,151639319905169826
LBX0325661723687363,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 13:19:23,交易出库,可销售库存,-2,247,152492603291034094,152492603291034094
LBX0325661723674061,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 13:18:43,交易出库,可销售库存,-2,249,152491203057034094,152491203057034094
LBX0325661723717057,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 13:13:02,交易出库,可销售库存,-2,251,152479049848034094,152479049848034094
LBX0325661723690681,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 13:11:53,交易出库,可销售库存,-2,174,151305697707393213,151305697707393213
LBX0325661723700801,XY521074725008,Graceland Fruit 蔓越莓切片果干 1000克,菜鸟上海保税1号仓,2018-04-24 13:11:53,交易出库,可销售库存,-1,179,151331372819169826,151331372819169826
LBX0325661723933644,X708390000326,美国果瑞氏无糖蔓越莓果干113.4克,菜鸟上海保税1号仓,2018-04-24 13:00:09,交易出库,可销售库存,-2,287,137919182984070243,137919182984070243
LBX0325661723941560,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 12:59:13,交易出库,可销售库存,-2,176,137975743933465096,137975743933465096
LBX0325661723827043,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 12:56:13,交易出库,可销售库存,-2,253,137958467590393930,137958467590393930
LBX0325661723747575,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 12:47:54,交易出库,可销售库存,-2,257,152503102879705782,152503102879705782
LBX0325661723849918,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 12:47:54,交易出库,可销售库存,-2,255,137872057279129391,137872057279129391
LBX0325661723840449,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 12:45:51,交易出库,可销售库存,-2,259,151656903970264019,151656903970264019
LBX0325661723845135,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 12:45:18,交易出库,可销售库存,-2,261,137906050106268698,137906050106268698
LBX0325661723855006,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 12:43:47,交易出库,可销售库存,-2,263,137906162408983181,137906162408983181
LBX0325661723767715,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 12:43:47,交易出库,可销售库存,-2,265,137859261640332936,137859261640332936
LBX0325661723768091,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 12:43:02,交易出库,可销售库存,-2,267,151337056080417400,151337056080417400
LBX0325661723737758,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 12:42:50,交易出库,可销售库存,-4,269,151649399591717001,151649399591717001
LBX0325661723817743,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 12:40:01,交易出库,可销售库存,-2,275,137960147566372346,137960147566372346
LBX0325661723817743,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 12:40:01,交易出库,可销售库存,-2,273,137960147566372346,137960147566372346
LBX0325661723520711,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 12:09:11,交易出库,可销售库存,-2,1337,151296513851012606,151296513851012606
LBX0325661723611624,XY521074725008,Graceland Fruit 蔓越莓切片果干 1000克,菜鸟上海保税1号仓,2018-04-24 12:03:46,交易出库,可销售库存,-1,180,152492882783599878,152492882783599878
LBX0325661723461532,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 12:01:43,交易出库,可销售库存,-2,178,137933323599490357,137933323599490357
LBX0325661723622025,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 11:59:18,交易出库,可销售库存,-2,180,152487395034421383,152487395034421383
LBX0325661723609963,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 11:57:26,交易出库,可销售库存,-2,182,151641475322441608,151641475322441608
LBX0325661723628816,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 11:55:00,交易出库,可销售库存,-2,277,152474261807034094,152474261807034094
LBX0325661723630674,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 11:53:42,交易出库,可销售库存,-2,184,152489859047752780,152489859047752780
LBX0325661723637923,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 11:52:23,交易出库,可销售库存,-2,186,152525528928752780,152525528928752780
LBX0325661723500174,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 11:49:19,交易出库,可销售库存,-1,1339,137932903706462049,137932903706462049
LBX0325661723500174,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 11:49:19,交易出库,可销售库存,-1,1709,137932903706462049,137932903706462049
LBX0325661723604981,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 11:45:55,交易出库,可销售库存,-2,281,152487087654892790,152487087654892790
LBX0325661723604981,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 11:45:55,交易出库,可销售库存,-2,279,152487087654892790,152487087654892790
LBX0325661723625490,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 11:42:42,交易出库,可销售库存,-2,283,151641475206441608,151641475206441608
LBX0325661723628679,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 11:40:50,交易出库,可销售库存,-2,285,152493666991034094,152493666991034094
LBX0325661723661835,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 11:37:54,交易出库,可销售库存,-2,287,152528636467034094,152528636467034094
LBX0325661723455361,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 11:35:50,交易出库,可销售库存,-1,1340,137877322329426252,137877322329426252
LBX0325661723455361,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 11:35:50,交易出库,可销售库存,-1,1710,137877322329426252,137877322329426252
LBX0325661723176548,XY521077912497,Graceland Fruit 蓝莓果干 1000克,菜鸟上海保税1号仓,2018-04-24 11:27:47,交易出库,可销售库存,-1,66,151298808885706718,151298808885706718
LBX0325661723317871,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 11:24:12,交易出库,可销售库存,-2,1341,152454185361342563,152454185361342563
LBX0325661723220856,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 11:24:00,交易出库,可销售库存,-1,1343,151279461180020220,151279461180020220
LBX0325661723403620,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 11:22:05,交易出库,可销售库存,-1,1344,137928255947797833,137928255947797833
LBX0325661723403620,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 11:22:05,交易出库,可销售库存,-1,1711,137928255947797833,137928255947797833
LBX0325661723207163,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 11:21:43,交易出库,可销售库存,-2,1712,137859794784482546,137859794784482546
LBX0325661723207163,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 11:21:43,交易出库,可销售库存,-2,188,137859794784482546,137859794784482546
LBX0325661723280917,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 11:20:00,交易出库,可销售库存,-2,289,137828629963069458,137828629963069458
LBX0325661723328303,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 11:19:36,交易出库,可销售库存,-6,291,152462251757638664,152462251757638664
LBX0325661723199709,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 11:16:21,交易出库,可销售库存,-4,297,152465862057244784,152465862057244784
LBX0325661723316057,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 11:12:43,交易出库,可销售库存,-8,301,152451385603249770,152451385603249770
LBX0325661723309525,XY521068155265,Graceland Fruit 整粒蔓越莓果干 1000克,菜鸟上海保税1号仓,2018-04-24 11:11:11,交易出库,可销售库存,-1,55,137830449624088039,137830449624088039
LBX0325661723309525,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 11:11:11,交易出库,可销售库存,-1,309,137830449624088039,137830449624088039
LBX0325661723292457,XY521077912497,Graceland Fruit 蓝莓果干 1000克,菜鸟上海保税1号仓,2018-04-24 11:07:20,交易出库,可销售库存,-1,67,137830281083937335,137830281083937335
LBX0325661723292457,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 11:07:20,交易出库,可销售库存,-2,310,137830281083937335,137830281083937335
LBX0325661723146013,XY521074093868,Graceland Fruit 蔓越莓切片果干 226.8克,菜鸟上海保税1号仓,2018-04-24 10:53:28,交易出库,可销售库存,-6,286,152446403148858787,152446403148858787
LBX0325661722998768,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:53:28,交易出库,可销售库存,-1,1345,152445282262668293,152445282262668293
LBX0325661722998768,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:53:28,交易出库,可销售库存,-1,1714,152445282262668293,152445282262668293
LBX0325661722968091,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 10:51:22,交易出库,可销售库存,-4,312,152470900142067873,152470900142067873
LBX0325661722968091,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 10:51:22,交易出库,可销售库存,-2,190,152470900142067873,152470900142067873
LBX0325661722962019,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:50:58,交易出库,可销售库存,-1,1346,137898967728044443,137898967728044443
LBX0325661722962019,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:50:58,交易出库,可销售库存,-1,1715,137898967728044443,137898967728044443
LBX0325661723044674,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:50:35,交易出库,可销售库存,-2,1347,152446766655119761,152446766655119761
LBX0325661722949451,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 10:50:23,交易出库,可销售库存,-4,192,151595527298661523,151595527298661523
LBX0325661722924305,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:50:00,交易出库,可销售库存,-1,1349,137734548857076231,137734548857076231
LBX0325661722924305,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:50:00,交易出库,可销售库存,-1,1716,137734548857076231,137734548857076231
LBX0325661722939568,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 10:49:15,交易出库,可销售库存,-2,196,151594855633786517,151594855633786517
LBX0325661722924731,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:49:03,交易出库,可销售库存,-2,1719,137802925261423636,137802925261423636
LBX0325661723096891,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:49:03,交易出库,可销售库存,-1,1351,152441727974994780,152441727974994780
LBX0325661723096891,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:49:03,交易出库,可销售库存,-1,1718,152441727974994780,152441727974994780
LBX0325661723082749,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:49:03,交易出库,可销售库存,-1,1350,152451834762994780,152451834762994780
LBX0325661723082749,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:49:03,交易出库,可销售库存,-1,1717,152451834762994780,152451834762994780
LBX0325661722961480,XY521074093868,Graceland Fruit 蔓越莓切片果干 226.8克,菜鸟上海保税1号仓,2018-04-24 10:48:51,交易出库,可销售库存,-3,292,152470872292413699,152470872292413699
LBX0325661722937583,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 10:48:28,交易出库,可销售库存,-3,198,151447602688382503,151447602688382503
LBX0325661722989071,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 10:47:07,交易出库,可销售库存,-2,201,151449842936398203,151449842936398203
LBX0325661723023181,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 10:47:07,交易出库,可销售库存,-2,203,151453118844627904,151453118844627904
LBX0325661722661770,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:46:43,交易出库,可销售库存,-2,1352,137788113044802148,137788113044802148
LBX0325661722580100,XY521074725008,Graceland Fruit 蔓越莓切片果干 1000克,菜鸟上海保税1号仓,2018-04-24 10:30:22,交易出库,可销售库存,-1,181,151426042879280318,151426042879280318
LBX0325661722561736,XY521074725008,Graceland Fruit 蔓越莓切片果干 1000克,菜鸟上海保税1号仓,2018-04-24 10:29:26,交易出库,可销售库存,-1,182,137821378970208132,137821378970208132
LBX0325661722625009,X708390000326,美国果瑞氏无糖蔓越莓果干113.4克,菜鸟上海保税1号仓,2018-04-24 10:27:51,交易出库,可销售库存,-1,289,151576739244486717,151576739244486717
LBX0325661722625009,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 10:27:51,交易出库,可销售库存,-2,318,151576739244486717,151576739244486717
LBX0325661722625009,XY521078064529,Graceland Fruit 酸樱桃果干 141.7克,菜鸟上海保税1号仓,2018-04-24 10:27:51,交易出库,可销售库存,-2,462,151576739244486717,151576739244486717
LBX0325661722625009,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 10:27:51,交易出库,可销售库存,-2,207,151576739244486717,151576739244486717
LBX0325661722975627,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 10:27:51,交易出库,可销售库存,-2,320,137844366658879758,137844366658879758
LBX0325661722917349,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 10:27:51,交易出库,可销售库存,-2,316,152434866388279796,152434866388279796
LBX0325661722649635,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 10:27:51,交易出库,可销售库存,-2,205,137721080263208132,137721080263208132
LBX0325661722659042,X708390000326,美国果瑞氏无糖蔓越莓果干113.4克,菜鸟上海保税1号仓,2018-04-24 10:27:40,交易出库,可销售库存,-1,290,151264368723043503,151264368723043503
LBX0325661722659042,XY521074725008,Graceland Fruit 蔓越莓切片果干 1000克,菜鸟上海保税1号仓,2018-04-24 10:27:40,交易出库,可销售库存,-1,183,151264368723043503,151264368723043503
LBX0325661722659042,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 10:27:40,交易出库,可销售库存,-2,322,151264368723043503,151264368723043503
LBX0325661722659042,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 10:27:40,交易出库,可销售库存,-2,209,151264368723043503,151264368723043503
LBX0325661722653666,XY521074249153,Graceland Fruit 酸樱桃果干 1000克,菜鸟上海保税1号仓,2018-04-24 10:27:17,交易出库,可销售库存,-1,112,137825690854951731,137825690854951731
LBX0325661722558654,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:27:03,交易出库,可销售库存,-1,1354,137867635947808641,137867635947808641
LBX0325661722819582,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:26:04,交易出库,可销售库存,-1,1721,151441218084190305,151441218084190305
LBX0325661722641996,XY521074249153,Graceland Fruit 酸樱桃果干 1000克,菜鸟上海保税1号仓,2018-04-24 10:25:53,交易出库,可销售库存,-1,113,137884183142951731,137884183142951731
LBX0325661722907798,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 10:25:40,交易出库,可销售库存,-2,324,137839774271850444,137839774271850444
LBX0325661722782083,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:25:17,交易出库,可销售库存,-1,1722,152422770981209988,152422770981209988
LBX0325661722554682,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:24:55,交易出库,可销售库存,-1,1723,152389675702819080,152389675702819080
LBX0325661722911639,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:24:32,交易出库,可销售库存,-1,1355,151253897980335614,151253897980335614
LBX0325661722911639,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:24:32,交易出库,可销售库存,-1,1724,151253897980335614,151253897980335614
LBX0325661722569800,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:24:32,交易出库,可销售库存,-2,1725,152403703408578866,152403703408578866
LBX0325661722899151,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 10:24:19,交易出库,可销售库存,-6,326,151253505013972319,151253505013972319
LBX0325661722616954,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:23:56,交易出库,可销售库存,-2,1727,151238889861741409,151238889861741409
LBX0325661722631042,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:22:12,交易出库,可销售库存,-1,1356,152405887024008862,152405887024008862
LBX0325661722631042,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 10:22:12,交易出库,可销售库存,-2,334,152405887024008862,152405887024008862
LBX0325661722631042,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 10:22:12,交易出库,可销售库存,-2,332,152405887024008862,152405887024008862
LBX0325661722804379,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:22:01,交易出库,可销售库存,-1,1357,137729032196443939,137729032196443939
LBX0325661722804379,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:22:01,交易出库,可销售库存,-1,1729,137729032196443939,137729032196443939
LBX0325661722903754,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:21:48,交易出库,可销售库存,-1,1358,151279600574989916,151279600574989916
LBX0325661722903754,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:21:48,交易出库,可销售库存,-1,1730,151279600574989916,151279600574989916
LBX0325661722911214,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:21:48,交易出库,可销售库存,-1,1359,137734212076780850,137734212076780850
LBX0325661722911214,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:21:48,交易出库,可销售库存,-1,1731,137734212076780850,137734212076780850
LBX0325661722566971,8802534778002,Graceland Fruit蓝莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:21:37,交易出库,可销售库存,-1,1360,151427022856810912,151427022856810912
LBX0325661722566971,8802534778019,Graceland Fruit整粒蔓越莓黑巧克力,菜鸟上海保税1号仓,2018-04-24 10:21:37,交易出库,可销售库存,-1,1732,151427022856810912,151427022856810912
LBX0325661722884487,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 10:21:24,交易出库,可销售库存,-2,338,151252609265384902,151252609265384902
LBX0325661722884487,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 10:21:24,交易出库,可销售库存,-2,213,151252609265384902,151252609265384902
LBX0325661722908737,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 10:21:24,交易出库,可销售库存,-2,336,152426803112218193,152426803112218193
LBX0325661722908737,XY521078390258,Graceland Fruit 整粒蔓越莓果干 226.8克,菜鸟上海保税1号仓,2018-04-24 10:21:24,交易出库,可销售库存,-2,211,152426803112218193,152426803112218193
LBX0325661722544913,XY521073901132,Graceland Fruit 蓝莓果干 141.7克,菜鸟上海保税1号仓,2018-04-24 10:20:15,交易出库,可销售库存,-2,340,152402667047800195,152402667047800195
